Name,URL,Genossenschaft,Typ Einträge,Select,AI Summary Anteilsscheine
Mieter-Baugenossenschaft Wädenswil - Statuten,https://www.mbgwaedenswil.ch/dokumente/statuten-und-geschaeftsreglement,Mieter-Baugenossenschaft Wädenswil,Statuten,Webseite,"- Die Anteilscheine lauten auf den Nennwert von Fr. 500.--, Fr. 1'000.-- und Fr. 5'000.-- und müssen voll einbezahlt werden. Der Verwaltungsrat kann eine Höchstgrenze für den Erwerb von Anteilscheinkapital pro Mitglied festsetzen. Ausnahmsweise kann der Geschäftsführer in Absprache mit der Verwaltungskommission die Einzahlungspflicht für die Mieter von Wohnungen aufschieben oder Ratenzahlungen bewilligen. Der nicht einbezahlte Betrag wird nicht verzinst.
- Die Mitgliedschaft beginnt mit der vollständigen Einzahlung der erforderlichen Genossenschaftsanteile.
- Die Generalversammlung setzt die Verzinsung der Anteilscheine fest, maximal 1% über dem offiziellen Referenzzinssatz. Die Anteile sind ab dem Folgetag der Einzahlung und bis zur Auszahlung verzinslich.
- Es gibt keine Angaben dazu, ob die Anteilscheine aus der Altersvorsorge bezogen werden dürfen.
- Weitere besondere Bestimmungen: Jede Verpfändung oder sonstige Belastung von Genossenschaftsanteilen sowie deren Übertragung an Personen, die nicht Mitglieder der Genossenschaft sind, ist ausgeschlossen. Die Übertragung ist nur von Mitglied zu Mitglied mit Zustimmung des Verwaltungsrates zulässig.

Quelle: Statuten der Mieter-Baugenossenschaft Wädenswil, Art. 5, 13, 14, 15, 10"
ZBWG - Statuten,https://www.zbwg.ch/site/assets/files/1026/240530_statuten_zbwg_def.pdf,ZBWG,Statuten,PDF,"Die Statuten der Genossenschaft ZBWG enthalten folgende Bestimmungen zu Anteilsscheinen:

- Die Höhe der Anteilsscheine beträgt CHF 1'000 pro Anteilsschein.
- Anteilsscheine sind bei Eintritt in die Genossenschaft zu zeichnen und innert 30 Tagen nach Annahme des Beitrittsgesuchs zu bezahlen.
- Die Zahlung in Raten ist nicht vorgesehen.
- Anteilsscheine werden nicht verzinst.
- Anteilsscheine können aus Mitteln der gebundenen Vorsorge (Säule 3a) oder der Pensionskasse (2. Säule) gezeichnet werden, sofern die gesetzlichen Voraussetzungen erfüllt sind. Die Details zum Bezug und Umfang richten sich nach den gesetzlichen Bestimmungen.

Weitere besondere Bestimmungen sind in den Statuten nicht aufgeführt."
wsgz - Statuten,https://wsgz.ch/download/15/Statuten.pdf,wsgz,Statuten,PDF,"Die Statuten der WSGZ enthalten folgende Bestimmungen zu Anteilsscheinen:

- Anteilsscheine müssen bei Eintritt in die Genossenschaft gezeichnet werden.
- Die Höhe der Anteilsscheine beträgt mindestens CHF 2'000 pro Mitglied.
- Die Einzahlung der Anteilsscheine kann auf einmal oder in Raten erfolgen, wobei die Zahlungsmodalitäten vom Vorstand festgelegt werden.
- Anteilsscheine werden nicht verzinst.
- Anteilsscheine können aus Mitteln der gebundenen Vorsorge (Säule 3a) oder der Pensionskasse (2. Säule) bezahlt werden, sofern die gesetzlichen Voraussetzungen erfüllt sind. Die genauen Modalitäten richten sich nach den gesetzlichen Bestimmungen und den Weisungen der zuständigen Vorsorgeeinrichtungen.

Weitere besondere Bestimmungen sind in den Statuten nicht aufgeführt."
WOGENO - Anteilsscheine,https://www.wogeno-zuerich.ch/assets/files/Reglemente/Wogeno%20Reglement%20%C3%BCber%20die%20Bezahlung%20von%20Wohnungsanteilscheinen.pdf,WOGENO,Anteilsscheine,PDF,"Die Wohnungs-Anteilscheine der Genossenschaft WOGENO können aus Mitteln der beruflichen Vorsorge (Pensionskasse) bezahlt werden, nicht jedoch die Anteilscheine für die Mitgliedschaft. Das versicherte Mitglied muss sich vorher bei seiner Vorsorgeeinrichtung über die Folgen eines Vorbezugs informieren. Das Gesuch ist direkt an die Vorsorgeeinrichtung zu senden, zusammen mit den erforderlichen Unterlagen (Statuten, Reglement, Bestätigung der Höhe des Anteilscheinkapitals, unterzeichneter Mietvertrag, bei Ehepaaren Unterschrift beider Partner). Der Betrag wird von der Vorsorgeeinrichtung direkt an die Genossenschaft überwiesen, die die Anteilscheine der Vorsorgeeinrichtung zur Hinterlegung zustellt. Bei Austritt aus der Genossenschaft sind die einbezahlten Vorsorgegelder entweder einer anderen Wohnbaugenossenschaft, einem anderen Wohnbauträger oder wieder einer Vorsorgeeinrichtung zu überweisen.

Keine Angaben zur Verzinsung, zur Höhe der Anteilscheine, zu Zahlungsmodalitäten, Ratenzahlung oder weiteren besonderen Bestimmungen im vorliegenden Dokument."
WOGENO - Statuten,https://www.wogeno-zuerich.ch/assets/files/Reglemente/230626-wogeno-statuten-a4.pdf,WOGENO,Statuten,PDF,"'- Jedes Mitglied muss mindestens einen Mitgliederanteilschein von CHF 3000 zeichnen.
- Mitglieder, die Mieter:innen sind, müssen zusätzlich Wohnungsanteilscheine mit einem Nennwert von CHF 100 pro Schein übernehmen, entsprechend der beanspruchten Räume. Der Maximalbetrag beträgt 20% der Anlagekosten der gemieteten Räumlichkeiten.
- Wohnungsanteilscheine können mit Mitteln der beruflichen Vorsorge (Altersvorsorge) erworben werden. Der Vorstand regelt den Vollzug in einem Reglement.
- Aus einem allfälligen Reinertrag kann auf die Mitgliederanteilscheine ein Zins ausgerichtet werden, höchstens zu dem für die Befreiung von der eidg. Stempelabgabe zulässigen Höchstsatz und unter Beachtung der Grenzen von Bestimmungen der Wohnbauförderung.
- Die Rückzahlung der Wohnungsanteilscheine erfolgt nach Beendigung des Mietverhältnisses, die Rückzahlung des Mitgliederanteilscheins zum Zeitpunkt des Austritts.
- Vorbehalten bleiben gesetzliche Restriktionen bei aus Mitteln der beruflichen Vorsorge erworbenen Genossenschaftsanteilscheinen.
- Es gibt keine Angaben zu Ratenzahlung oder weiteren besonderen Bestimmungen in den Statuten.

Quelle: https://www.wogeno-zuerich.ch/assets/files/Reglemente/230626-wogeno-statuten-a4.pdf"
Sunnige Hof - Statuten,https://sunnigehof.ch/app/uploads/Statuten_Siedlungsgenossenschaft_Sunnige_Hof_2022_final.pdf,Sunnige Hof,Statuten,PDF,"'- Die Genossenschaftsanteile lauten auf einen Nennwert von je Fr. 100 und müssen voll einbezahlt werden. Mitglieder, die Räumlichkeiten mieten, müssen zusätzliche Anteile übernehmen; der Maximalbetrag beträgt 20 % der Anlagekosten der gemieteten Räumlichkeiten. Die genaue Höhe legt der Verwaltungsrat in einem Reglement fest.
- Ausnahmsweise kann der Verwaltungsrat für die Genossenschaftsanteile Ratenzahlung bewilligen.
- Für Genossenschaftsanteile werden keine Anteilscheine ausgegeben, aber das Mitglied erhält jährlich eine Bestätigung über die Höhe seiner Beteiligung.
- Die Verzinsung der Genossenschaftsanteile ist möglich, wenn das Rechnungsergebnis dies gestattet und die vorgeschriebenen Fondseinlagen und Abschreibungen vorgenommen wurden. Die Generalversammlung bestimmt jährlich den Zinssatz, der bestimmte Obergrenzen nicht überschreiten darf.
- Die Anteile werden ab dem ersten Tag des Monats nach vollständiger Einzahlung verzinst.
- Es gibt keine Hinweise darauf, dass Genossenschaftsanteile aus der Altersvorsorge bezogen werden dürfen.
- Die Rückzahlung der Anteile erfolgt zum Bilanzwert des Austrittsjahres, höchstens aber zum Nennwert. Bei einer Mitgliedschaft von weniger als zwei Jahren kann eine Umtriebsentschädigung abgezogen werden.
- Die Rückzahlung kann bei Bedarf bis zu drei Jahre hinausgeschoben werden, wird aber weiterhin verzinst.
- Die Verpfändung und Übertragung von Genossenschaftsanteilen an Nichtmitglieder ist ausgeschlossen. Eine Übertragung ist nur mit Zustimmung des Verwaltungsrats in Ausnahmefällen möglich (z.B. Eltern auf Kinder).
- Freiwillige Anteile sind möglich, Details regelt der Verwaltungsrat.

Keine weiteren besonderen Bestimmungen zu Altersvorsorge oder Bezug daraus gefunden."
Eigengrund | sge - Anteilsscheine,https://www.eigengrund.ch/cms/upload/Dokumente/Mietunterlagen/Reglemente/Reglement_Genossenschaftsanteile.pdf,Eigengrund | sge,Anteilsscheine,PDF,Ich kann das angegebene Dokument leider nicht öffnen und daher keine Angaben zu den Bestimmungen der Anteilsscheine machen.
MBGZ - Statuten,https://www.mbgz.ch/wp-content/uploads/2025/03/Statuten_MBGZ.pdf,MBGZ,Statuten,PDF,"- Die Genossenschaftsanteile lauten auf einen Nennwert von je CHF 50 und müssen voll einbezahlt werden. Ausnahmsweise kann der Vorstand für die Genossenschaftsanteile Ratenzahlung bewilligen.
- Die Mitglieder müssen pro von ihnen gemietetes Zimmer maximal 60 Genossenschaftsanteile übernehmen. Einzelheiten werden im Vermietungsreglement festgelegt.
- Für Genossenschaftsanteile werden keine Anteilscheine ausgegeben, das Mitglied erhält jedoch eine Bestätigung über die Höhe seiner Beteiligung.
- Freiwillige Anteile können bis zu einem Maximalbetrag von CHF 250’000 pro Wohnung oder Einfamilienhaus übernommen werden.
- Genossenschaftsanteile können mit Mitteln der beruflichen Vorsorge erworben werden. Einzelheiten werden im Vermietungsreglement festgelegt.
- Die Verzinsung der Genossenschaftsanteile richtet sich nach Art. 18 der Statuten.
- Die Rückzahlung von Anteilen, die mit Mitteln der beruflichen Vorsorge erworben wurden, hat nach Weisung des bisherigen Mitglieds zu seinen Gunsten entweder an eine Wohnbaugenossenschaft, bei der es nun eine Wohnung selbst dauernd bewohnt, oder an eine Einrichtung der beruflichen Vorsorge oder nach Erreichen des Rentenalters an das bisherige Mitglied selbst zu erfolgen.
- Für Genossenschaftsanteile besteht kein Anspruch auf Rückzahlung über den Nennwert hinaus, und die Auszahlung erfolgt nach Beendigung des Mietvertrags und Wohnungsabgabe, bei freiwilligen Anteilen nach Ablauf der Kündigungsfrist.
- Jede Verpfändung und sonstige Belastung von Genossenschaftsanteilen sowie deren Übertragung an Personen, die nicht Mitglieder der Genossenschaft sind, ist ausgeschlossen.

Weitere Details, insbesondere zur Verzinsung und zu den Modalitäten des Bezugs aus der Altersvorsorge, sind im Vermietungsreglement geregelt, das in den Statuten erwähnt, aber nicht abgedruckt ist."
GEWOBAG - Anteilsscheine,https://www.gewobag.ch/pdf/leitbild_statuten_reglement/Reglemente_GEWOBAG_2022.pdf,GEWOBAG,Anteilsscheine,PDF,"'- Anteilsscheine (Anteilkapital) müssen entsprechend der Vereinbarung im Mietvertrag einbezahlt werden. Die Höhe des Anteilkapitals pro Siedlung wird vom Vorstand festgelegt und liegt zwischen 4 und 7 % der Nettoanlagekosten, aufgeteilt nach einem Punktesystem je nach Wohnungsgrösse. Die genauen Beträge werden im Jahresbericht veröffentlicht.
- In Ausnahmefällen kann das Anteilkapital in Raten bezahlt werden: Die erste Rate muss mindestens 30 % betragen, die letzte Rate spätestens 12 Monate nach Vertragsunterzeichnung erfolgen.
- Das Anteilkapital kann bis zu 70 % mit Mitteln der beruflichen Vorsorge (Pensionskasse) bezahlt werden. Die Auszahlung erfolgt direkt von der Vorsorgeeinrichtung an die GEWOBAG. Bei Beendigung des Mietverhältnisses müssen diese Vorsorgegelder an eine andere Wohnbaugenossenschaft, einen anderen Wohnbauträger oder zurück an die Vorsorgeeinrichtung überwiesen werden.
- Die Verzinsung der mit Vorsorgegeldern bezahlten Anteile erfolgt, sofern die Vorsorgeinstitution nichts anderes bestimmt, auf ein Einlagenkonto der GEWOBAG oder ein Bank-/Postkonto des Genossenschafters.
- Die Verrechnung von Forderungen der GEWOBAG mit Anteilkapital, das mit Mitteln der beruflichen Vorsorge bezahlt wurde, ist ausgeschlossen.
- AHV- und IV-Bezüger mit Anspruch auf Ergänzungsleistungen können bei der Wohngemeinde ein Gesuch stellen, dass das Anteilkapital ganz oder teilweise übernommen wird.

Keine weiteren besonderen Bestimmungen zu Anteilsscheinen gefunden."
GEWOBAG - Statuten,https://www.gewobag.ch/pdf/leitbild_statuten_reglement/Statuten_GEWOBAG.pdf,GEWOBAG,Statuten,PDF,"'- Jede/r Genossenschafter/in muss mindestens einen Genossenschaftsanteil von CHF 1'000 übernehmen (Pflichtanteil).
- Mieter/innen müssen weitere Anteile im Nennwert von CHF 100, 500 oder 1'000 übernehmen, insgesamt 4–7 % des Nettoanlagewerts der Wohnung. Die genaue Höhe richtet sich nach dem Anlagewert des Mietobjekts.
- Die Anteile können in Teilbeträgen bezahlt werden. Verzinst wird das Anteilkapital erst, wenn der gesamte geschuldete Betrag einbezahlt ist und die Bedingungen gemäss Statuten erfüllt sind.
- Bis zu 70 % der Genossenschaftsanteile können mit Mitteln der beruflichen Vorsorge (Pensionskasse) erworben werden. Der Vollzug wird durch ein Reglement des Vorstands geregelt.
- Das Anteilkapital darf nur verzinst werden, wenn das Rechnungsergebnis dies gestattet und die gesetzlichen Fondseinlagen und Abschreibungen vorgenommen wurden. Der Zinssatz darf bestimmte Grenzen nicht überschreiten.
- Beim Austritt werden die einbezahlten Anteile zum Nennwert zurückbezahlt, spätestens 60 Tage nach dem Ausscheiden, in Ausnahmefällen bis zu einem Jahr später.
- Während eines laufenden Mietvertrags ist die Kündigung von Anteilscheinen nicht möglich.
- Für Genossenschaftsanteile werden keine Anteilscheine ausgegeben.
- Mit Mitteln der beruflichen Vorsorge erworbene Anteile sind beim Austritt entweder einer anderen Wohnbaugenossenschaft zu überweisen, einer Vorsorgeeinrichtung zurückzuerstatten oder nach Erreichen des Rentenalters an das Mitglied auszubezahlen.

Weitere besondere Bestimmungen: Die Anteile sind nur mit Einwilligung des Vorstands übertrag- und verpfändbar und können nur an andere Genossenschafter/innen übertragen werden."
Kalkbreite - Anteilsscheine,https://cdn.prod.website-files.com/68be80e4caeb75a63dc55bb3/68be8ea84b64e8c3dd8dd836_Reg_berufliche_Vorsorge_neues-Layout.pdf,Kalkbreite,Anteilsscheine,PDF,"'- Anteilsscheine können aus Mitteln der beruflichen Vorsorge bezahlt werden, jedoch nicht der Teil, der als Mietzinssicherheit (zwei Bruttomonatsmieten, aufgerundet auf tausend Franken) dient.
- Der Rest der Pflichtanteile kann mit Vorsorgegeldern bezahlt werden.
- Die Zahlung erfolgt direkt von der Vorsorgeeinrichtung an die Genossenschaft.
- Bei Beendigung des Mietvertrags werden die mit Vorsorgegeldern bezahlten Anteile nach Weisung des Mitglieds an eine andere Genossenschaft, eine Vorsorgeeinrichtung oder nach Rentenalter an das Mitglied selbst überwiesen.
- Es gibt keine Angaben zur Verzinsung, zur Höhe der Anteilsscheine, zur Ratenzahlung oder zu weiteren besonderen Bestimmungen in diesem Dokument."
Kalkbreite - Statuten,https://cdn.prod.website-files.com/68be80e4caeb75a63dc55bb3/68be8c1e7ec299de43ac834e_Statuten_Kalkbreite_2025.pdf,Kalkbreite,Statuten,PDF,"'- Die Höhe eines Anteilscheins beträgt CHF 1'000.
- Anteilscheine werden nicht verzinst.
- Anteilkapital kann mit Mitteln der beruflichen Vorsorge finanziert werden. Der Vorstand regelt den Vollzug in einem Reglement.
- Für Mitglieder, die Mieterinnen sind, besteht die Pflicht zur Übernahme von Anteilkapital, dessen Höhe vom Vorstand nach Massgabe des minimalen Eigenmittelbedarfs für das Gesamtprojekt und proportional zum Mietzins festgelegt wird.
- Die Rückzahlung von Anteilscheinen ausgeschiedener Mitglieder erfolgt zum Nennwert. Die Rückzahlung des an ein Mietobjekt gebundenen Anteilkapitals erfolgt nach Abgabe des Mietobjekts und erfolgter Nachmiete.
- Die Übertragung von Genossenschaftsanteilen ist nur von Mitglied zu Mitglied zulässig und benötigt die Zustimmung des Vorstandes (ausser bei Übertragung zwischen Mitgliedern mit gemeinsamem Mietvertrag).
- Es gibt keine Nachschusspflicht und keine persönliche Haftung der Mitglieder.
- Weitere Details zur Finanzierung mit Mitteln der beruflichen Vorsorge (z.B. aus der Altersvorsorge) werden in einem separaten Reglement geregelt, das vom Vorstand erlassen wird."
Hofgarten | geho - Anteilsscheine,https://www.geho.ch/site/assets/files/92346/geho_reglement_genossenschaftsanteile_28_11_2024.pdf,Hofgarten | geho,Anteilsscheine,PDF,"'- Die Genossenschaftsanteile setzen sich wie folgt zusammen: 1 Mitgliedschaftsanteil à CHF 1'000.–, Wohnungsanteile: Sockelbetrag CHF 2'000.– plus pro Zimmer CHF 2'000.–. Beispiel: 4-Zimmer-Wohnung = CHF 11'000.– Anteilkapital.
- Für geheizte Zusatz- oder Hobbyräume: pro Raum CHF 2'000.– zusätzlich.
- Die Zahlung aller Genossenschaftsanteile ist mit dem Wohnungsbezug fällig. In besonderen Härtefällen sind Ratenzahlungen oder eine Übernahme eines Teilbetrags durch den Solidaritätsfonds möglich (auf Antrag, Einzelfallentscheidung durch den Vorstand).
- Wohnungsanteile können in begründeten Fällen auch aus Mitteln der beruflichen Vorsorge (Pensionskasse) bezahlt werden. Bei Auflösung des Mietverhältnisses erfolgt die Auszahlung an die Vorsorgeeinrichtung. Näheres regelt ein separates Reglement.
- Bei steuerbarem Einkommen unter CHF 60'000.– kann auf Antrag eine Reduktion der Wohnungsanteile um 50% gewährt werden (Vermögen wird berücksichtigt).
- Über die Verzinsung und Auszahlung der Anteile gelten die Bestimmungen der Statuten (Art. 17 und 18). Im Reglement selbst steht nichts zur Höhe der Verzinsung.
- Pro Wohnung können maximal zwei Personen Genossenschafter*in werden, beide müssen je einen Mitgliedschaftsanteil zeichnen.
- Bei erhöhtem Finanzbedarf kann der Vorstand weitere Anteile bis zum Maximalbetrag gemäss Statuten verlangen."
Hofgarten | geho - Statuten,https://www.geho.ch/site/assets/files/2126/geho_statuten_20230601.pdf,Hofgarten | geho,Statuten,PDF,"'- Die Genossenschaftsanteile lauten auf einen Nennwert von je Fr. 1000 und müssen voll einbezahlt werden. Mitglieder, die Räumlichkeiten mieten, müssen zusätzlich weitere Anteile (Wohnungsanteile) übernehmen. Der zu übernehmende Betrag richtet sich nach den Anlagekosten der Wohnung und beträgt maximal 20% der Anlagekosten der gemieteten Räumlichkeiten. Einzelheiten regelt ein separates Reglement des Vorstands.
- Für Genossenschaftsanteile werden keine Anteilscheine ausgegeben, aber das Mitglied erhält jährlich eine Bestätigung über die Höhe seiner Beteiligung.
- Mit Einverständnis des Vorstands können Genossenschaftsanteile auch von Dritten finanziert werden.
- Die Genossenschaftsanteile dürfen nur verzinst werden, wenn das Rechnungsergebnis dies gestattet und die vorgeschriebenen Fondseinlagen und Abschreibungen vorgenommen wurden. Die Generalversammlung bestimmt jährlich den Zinssatz, der bestimmte Obergrenzen nicht überschreiten darf.
- Die Mitgliedschaft beginnt mit der vollständigen Einzahlung der erforderlichen Genossenschaftsanteile.
- Es gibt keine Angabe, dass die Anteile in Raten bezahlt werden dürfen.
- Es gibt keine Angabe, dass die Anteile aus der Altersvorsorge bezogen werden dürfen.
- Weitere besondere Bestimmungen: Die Rückzahlung der Anteile erfolgt zum Bilanzwert des Austrittsjahres, höchstens aber zum Nennwert. Bei einer Mitgliedschaft von weniger als zwei Jahren kann eine Umtriebsentschädigung von maximal 10% abgezogen werden. Die Auszahlung erfolgt nach Genehmigung der Jahresrechnung, kann aber bei Bedarf bis zu drei Jahre hinausgeschoben werden. Eine vorzeitige Rückzahlung ist in besonderen Fällen möglich, jedoch nie vor der Wohnungsabgabe. Jede Verpfändung oder Übertragung an Nichtmitglieder ist ausgeschlossen."
Dreieck - Statuten,https://genossenschaftdreieck.ch/wp-content/uploads/2023/11/Statuten_2023.pdf,Dreieck,Statuten,PDF,"- Die Anteilscheine lauten auf CHF 500.00 und müssen voll einbezahlt werden. In Ausnahmefällen kann der Vorstand die Einzahlungspflicht aufschieben, wenn ein schriftlicher Antrag vorliegt.
- Mitglieder, die Mieterinnen sind, müssen je nach Grösse der gemieteten Räumlichkeiten und Finanzierungsbedarf mehr Anteilscheine übernehmen. Der Maximalbetrag beträgt 20 % der Anlagekosten der gemieteten Räumlichkeiten.
- Anteilscheine können mit Mitteln der beruflichen Vorsorge erworben werden. Mieterinnen müssen jedoch mindestens den Betrag von drei Monatsmieten aus eigenen und ungebundenen Mitteln finanzieren.
- Die Verzinsung der Genossenschaftsanteile ist möglich, wenn das Rechnungsergebnis dies gestattet. Die Generalversammlung bestimmt jährlich den Zinssatz, der bestimmte gesetzliche und förderrechtliche Grenzen nicht überschreiten darf.
- Bei Austritt besteht kein Rückzahlungsanspruch für Anteile, die mit Mitteln der beruflichen Vorsorge erworben wurden. Diese sind entweder einer Vorsorgeeinrichtung zurückzuerstatten, einer anderen Wohnbaugenossenschaft zu übertragen oder nach Erreichen des Rentenalters an das bisherige Mitglied selbst zu überweisen.
- Es gibt keine Bestimmung zur Ratenzahlung der Anteilscheine.
- Weitere besondere Bestimmungen: Die Übertragung von Genossenschaftsanteilen ist nur von Mitglied zu Mitglied und mit Zustimmung des Vorstands möglich. Ein Mitglied hat nur eine Stimme, unabhängig von der Anzahl der gehaltenen Anteilscheine."
Baufreunde - Statuten,https://baufreunde.ch/app/uploads/statuten-baufreunde-2018.pdf,Baufreunde,Statuten,PDF,"'- Die Genossenschaftsanteile lauten auf einen Nennwert von je CHF 100 und müssen voll einbezahlt sein. Ausnahmsweise kann der Vorstand die Einzahlungsmodalitäten regeln (Art. 14).
- Die Mindestbeteiligung für die Mitgliedschaft beträgt CHF 2'000 (Art. 7).
- Die Anteile werden jeweils vom ersten Tag des der Einzahlung folgenden Monats bis zur Rückzahlung verzinst. Der nicht einbezahlte Betrag wird nicht verzinst (Art. 16).
- Die Übertragung des Anteilscheinkapitals von einem Mitglied auf ein anderes benötigt die Zustimmung des Vorstands. Verpfändung und sonstige Belastung sowie Übertragung an Nichtmitglieder sind ausgeschlossen (Art. 13).
- Bei Anteilen, die mit Mitteln der beruflichen Vorsorge (Altersvorsorge) erworben wurden, erfolgt die Rückzahlung nach Weisung des bisherigen Mitglieds entweder an eine andere Wohnbaugenossenschaft, an eine Einrichtung der beruflichen Vorsorge oder – nach Erreichen des Rentenalters – an das Mitglied selbst (Art. 17).
- Die Rückzahlung erfolgt zum Bilanzwert des Austrittsjahres, höchstens aber zum Nennwert. Der auszuzahlende Betrag wird ein Jahr nach dem Ausscheiden fällig, kann aber bei Bedarf um bis zu zwei Jahre hinausgeschoben werden (Art. 17).
- Weitere besondere Bestimmungen: Die Genossenschaft ist berechtigt, Ansprüche gegenüber einem Mitglied mit dessen Anteilscheinkapital zu verrechnen. Der Vorstand regelt den Vollzug in einem Reglement (Art. 17)."
röntgenhof | GBRZ - Statuten,https://www.roentgenhof.ch/wp-content/uploads/2020/12/GBRZ_Statuten_2019.pdf,röntgenhof | GBRZ,Statuten,PDF,"- Jedes Mitglied muss mindestens 5 Genossenschaftsanteile à CHF 100.– übernehmen. Wer eine Wohnung mieten will, muss zusätzliche Anteile übernehmen. Die genaue Anzahl legt der Vorstand fest, maximal CHF 20'000.– pro Mitglied.
- Die Einzahlungsfrist wird vom Vorstand bestimmt. Für Wohnungsanteile kann Ratenzahlung bewilligt werden.
- Die Genossenschaftsanteile werden nicht verzinst.
- Die Rückzahlung erfolgt zum Bilanzwert, höchstens zum Nennwert, nach Genehmigung der Jahresrechnung, normalerweise innert Monatsfrist, bei Bedarf kann der Vorstand die Rückzahlung bis zu drei Jahre aufschieben.
- Genossenschaftsanteile sind nicht verpfändbar und dürfen ohne Zustimmung des Vorstands nicht übertragen werden. Es werden keine Anteilscheine ausgegeben, aber eine Bestätigung über die Beteiligung.
- Es gibt keine Angaben zum Bezug der Anteile aus der Altersvorsorge.
- Weitere besondere Bestimmungen: Persönliche Haftung der Mitglieder ist ausgeschlossen; für Verbindlichkeiten haftet nur das Genossenschaftsvermögen. Alte Anteilscheine à CHF 500.– berechtigen zum Bezug von 5 neuen à CHF 100.–."
Limmattal | GBL - Statuten,https://gbl.ch/downloads/statuten-reglemente/Statuten_GBL_2022.pdf#view=fit,Limmattal | GBL,Statuten,PDF,"'- Die Genossenschaftsanteile lauten auf einen Nennwert von je Fr. 500 und müssen voll einbezahlt werden. Die Mitglieder müssen entsprechend den von ihnen gemieteten Räumlichkeiten Genossenschaftsanteile übernehmen. Der zu übernehmende Betrag ist nach den Anlagekosten der Wohnung bzw. Gewerbeeinheiten abgestuft und beträgt maximal 20% der Anlagekosten der gemieteten Räumlichkeiten. Ausnahmsweise kann der Vorstand Ratenzahlung bewilligen.
- Für Genossenschaftsanteile werden keine Anteilscheine oder Zertifikate ausgegeben. Das Mitglied erhält jedoch jährlich eine Bestätigung über die Höhe seiner Beteiligung zusammen mit einem allfälligen Zinsausweis.
- Die Genossenschaftsanteile dürfen nur verzinst werden, wenn das Rechnungsergebnis dies gestattet und die gesetzlich und statutarisch vorgeschriebenen Fondseinlagen und Abschreibungen vorgenommen wurden. Die Generalversammlung bestimmt alljährlich den Zinssatz, wobei der Richtsatz für variable Hypotheken der Zürcher Kantonalbank und der für die Befreiung von der Eidgenössischen Stempelabgabe zulässige Zinssatz nicht überschritten werden dürfen.
- Die Anteile werden jeweils vom ersten Tag des der Einzahlung folgenden Monats bis zum Erlöschen der Mitgliedschaft verzinst. Der nicht einbezahlte Betrag wird nicht verzinst.
- Es gibt keine explizite Bestimmung zum Bezug der Genossenschaftsanteile aus der Altersvorsorge (z.B. Pensionskasse oder Säule 3a).
- Weitere besondere Bestimmungen: Mit Zustimmung des Vorstandes können die Anteile auch von Dritten finanziert werden. Wird nichts anderes vereinbart, steht ein allfälliger Zins dem Mitglied zu. Bei Austritt wird das Anteilkapital zum Bilanzwert des Austrittsjahres, höchstens aber zum Nennwert, zurückbezahlt. Bei einer Mitgliedschaftsdauer von weniger als zwei Jahren kann eine Umtriebsentschädigung von max. 10% abgezogen werden. Die Rückzahlung kann bei Bedarf bis zu drei Jahre aufgeschoben werden, bleibt aber verzinst."
GBMZ - Statuten,https://cms.gbmz.ch/uploads/GBMZ_Statuten_Mai_2025_DEF_121da5c906.pdf,GBMZ,Statuten,PDF,"'- Die Genossenschaftsanteile lauten auf einen Nennwert von Fr. 100.– und müssen voll einbezahlt werden. Ausnahmsweise kann der Vorstand die Einzahlungspflicht teilweise aufschieben; der nicht einbezahlte Betrag wird nicht verzinst.
- Die Übernahme mehrerer Genossenschaftsanteile kann zur Pflicht gemacht werden, abhängig vom Finanzierungsbedarf für die gemieteten Räumlichkeiten.
- Für Genossenschaftsanteile werden keine Anteilscheine ausgegeben, aber das Mitglied erhält jährlich eine Bestätigung über die Höhe seiner Beteiligung.
- Genossenschaftsanteile können mit Mitteln der beruflichen Vorsorge erworben werden. Der Vorstand regelt den Vollzug in einem Reglement.
- Mit Einverständnis des Vorstandes können Genossenschaftsanteile von Dritten finanziert werden.
- Die Verzinsung der Genossenschaftsanteile erfolgt aus dem Reinertrag nach bestimmten Abzügen. Die Generalversammlung bestimmt jährlich den Zinssatz, der nicht höher als der Referenzzinssatz des Bundesamts für Wohnungswesen und maximal 6 % sein darf.
- Die Anteile werden vom Tag der Einzahlung an bis zum Tag der Rückzahlung verzinst. Nicht einbezahlte Beträge werden nicht verzinst.
- Die Rückzahlung der Anteile erfolgt zum Bilanzwert des Austrittsjahres, höchstens aber zum Nennwert, drei Monate nach dem Ausscheiden. Der Vorstand kann die Rückzahlung bis auf drei Jahre hinausschieben, dann wird weiterhin verzinst.
- Die Rückzahlung von Anteilen, die mit Mitteln der beruflichen Vorsorge erworben wurden, hat nach Weisung des ausgeschiedenen Mitglieds entweder an eine andere Wohnbaugenossenschaft, an eine Einrichtung der beruflichen Vorsorge oder nach Erreichen des Rentenalters an das bisherige Mitglied selbst zu erfolgen.
- Während der Mietzeit können keine Verrechnungen von Mietzinsrückständen oder anderen Schulden mit den Genossenschaftsanteilen vorgenommen werden.

Weitere besondere Bestimmungen:
- Jede Verpfändung oder sonstige Belastung von Anteilen sowie deren Übertragung an Nichtmitglieder ist ausgeschlossen.
- Die Übertragung von Anteilen ist nur von Mitglied zu Mitglied zulässig und benötigt die Zustimmung des Vorstands (außer bei gemeinsamem Mietvertrag)."
